id,swingInfoId,swingDate,swingDateAccuracy,dst,userId,profileBirthYear,profileBirthMonth,profileBirthDay,profileGender,profileHeight,clubLength,clubFaceAngle,clubLoftAngle,clubLieAngle,real,clubShaftHardness,clubMakerId,clubId,fwMajorVersion,fwMinorVersion,fwPatchVersion,algMajorVersion,algMinorVersion,swingType,isBroken,serialNo,dataVersion,timeZoneOffset,gpsLongitude,gpsAltitude,gpsLatitude,addressHandFirst,addressLieAngle,impactClubPath,impactHandFirst,impactAttackAngle,impactHeadSpeed,impactLieAngle,impactRelativeFaceAngle,impactPointX,impactShaftRotation,impactPointY,impactFaceAngle,impactGripSpeed,impactLoftAngle,maxHeadSpeed,maxGripSpeed,topFaceAngleToHorizontal,halfwaydownFaceAngleToVertical,naturalReleaseTiming,swingTempo,downSwingShaftRotationMax,downSwingShaftRotationMin,halfwaybackFaceAngleToVertical,estimateCarry,naturalUncock,indexStart,indexHWB,indexTop,indexMaxGripSpeed,indexHWD,indexImpact,indexMaxHeadSpeed,indexFinish,vendorId,analyzeResultType,isExistVideo,isFavorite
1,c95ac17af35fde5b777424bc11e3d8a8,2024-12-28T11:53:46Z,1,0,fe5179f0e72a4c649b0b337df44c46ce,1900,1,1,0,172,0.9398,0,32,61.5,,4,0,1E+19,1,0,3,1,0,0,0,K50B105921,1,540,139.5781651,100,35.4312387,-6.9607396,55.93959,-4.3905873,4.62712,4.5477686,30.732466,61.229034,0.6560228,1.6615885,-766.46344,-0.7175459,-3.7345645,7.757131,39.8676,31.444855,7.757131,36.869503,-22.297443,0,4.1057544,-440.85367,-817.1951,-45.052364,124.26448,0,14,91,146,312,254,312,296,351,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
2,6fcfbf797af4dfa74dd8cf294b0e6c0c,2024-12-28T11:52:41Z,1,0,fe5179f0e72a4c649b0b337df44c46ce,1900,1,1,0,172,0.9398,0,32,61.5,,4,0,1E+19,1,0,3,1,0,0,0,K50B105921,1,540,139.5781616,105.8000031,35.4312384,-8.723454,60.54946,4.62784,-3.0826542,6.153138,30.29108,65.21722,4.8976192,0.9524666,-758.65857,-0.18470365,9.525459,7.665364,32.52387,31.950945,7.7041883,38.332077,-15.408284,0.2962963,5.274074,-446.34146,-820.8537,-49.652416,122.479774,0.5039394,6,126,184,341,287,342,313,383,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
3,bc73a6943ce2bfcbd925b46b232bd06d,2024-12-28T11:48:11Z,1,0,a60ba835ba564e0e88cc807c17c16acb,1970,6,24,0,162,1.16205,0,10.5,56,,4,0,0056234001C7234001C7,1,0,3,1,0,0,0,K50B109529,1,540,139.9265784,5.686188572,35.72163489,-5.378879,39.245205,-6.386533,4.5601234,6.463848,37.019455,43.858425,2.9514887,0.41235274,-2185.122,0.4356708,-3.435044,4.430489,19.246208,37.597874,6.1603565,30.17523,18.38712,17.391304,5.2173915,-282.80487,-2175.6099,-31.234459,200.97469,28.080637,40,167,238,319,325,385,383,425,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
4,59eec859a580438876ab2ee4d49526a2,2024-12-28T11:47:24Z,1,0,a60ba835ba564e0e88cc807c17c16acb,1970,6,24,0,162,1.16205,0,10.5,56,,4,0,0056234001C7234001C7,1,0,3,1,0,0,0,K50B109529,1,540,139.9265781,5.688405891,35.72163413,-3.5585365,39.452454,-14.457378,8.983594,-0.35189956,36.809002,43.392593,6.6713667,0.75945854,-2196.8293,-0.16037852,-7.7860117,4.021754,23.213978,37.765415,6.215943,32.049477,21.488384,19.380888,6.783311,-272.07318,-2306.8293,-31.495646,199.83215,35.299377,10,189,262,337,348,409,406,448,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
5,c8b1a33602deb426a68e7f1dbe3a238e,2024-12-28T11:47:20Z,1,0,fe5179f0e72a4c649b0b337df44c46ce,1900,1,1,0,172,0.9398,0,32,61.5,,4,0,1E+19,1,0,3,1,0,0,0,K50B105921,1,540,139.5781402,100,35.4312386,-5.511672,54.831768,-6.8123784,6.762415,3.3016787,31.269669,60.925686,-1.261517,0,-1453.7805,0,-8.073895,7.892745,41.031075,32.4644,7.892745,40.19409,-17.546251,0,4.809287,-349.2683,-1072.1952,-42.962986,126.43663,0,28,117,173,341,283,341,316,379,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
6,fd817d53e1a203d8aa9d598b139fb020,2024-12-28T11:46:37Z,1,0,a60ba835ba564e0e88cc807c17c16acb,1970,6,24,0,162,1.16205,0,10.5,56,,4,0,0056234001C7234001C7,1,0,3,1,0,0,0,K50B109529,1,540,139.9265776,5.561698854,35.72163359,-7.1319904,40.094326,0.15841572,2.6006286,4.987997,37.69235,43.992294,-3.0055332,0.722613,-2159.2683,0.2960068,-2.8471174,3.931594,17.29782,37.695435,6.0278277,35.359615,19.846037,21.124828,5.2126203,-302.92685,-2184.756,-29.905697,204.62776,34.775944,46,163,236,307,325,384,382,423,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
7,8f9b143fec31e27d8d15d282e311ab9b,2024-12-28T11:46:14Z,1,0,fe5179f0e72a4c649b0b337df44c46ce,1900,1,1,0,172,0.9398,0,32,61.5,,4,0,1E+19,1,0,3,1,0,0,0,K50B105921,1,540,139.578133,100,35.431238,-7.3636894,58.883972,-3.0088608,2.0591156,2.3563745,32.227093,62.28041,3.8568828,2.2726946,-1002.9269,-1.3886721,0.848022,7.9445195,37.819145,33.22774,7.9445195,32.56018,-13.56309,0,4.8788366,-315.73172,-920.6098,-45.59766,130.30789,0,18,114,169,330,274,330,301,369,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
8,216eb45e75734421046312a69442f084,2024-12-28T11:45:58Z,1,0,a60ba835ba564e0e88cc807c17c16acb,1970,6,24,0,162,1.16205,0,10.5,56,,4,0,0056234001C7234001C7,1,0,3,1,0,0,0,K50B109529,1,540,139.9265782,5.530070427,35.72163393,-5.3795757,40.314125,-1.8036115,2.6079745,5.0667896,37.891697,45.001858,-0.6455784,-1.1403463,-2518.4148,2.1918063,-2.44919,3.639363,17.10994,38.22868,5.9868402,37.737827,23.358242,19.97301,5.8299594,-268.90244,-2515.6099,-28.74428,205.71,39.210617,37,180,253,327,342,401,400,440,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
9,69bcd19e76b564e86325c6339ecf189d,2024-12-28T11:45:42Z,1,0,fe5179f0e72a4c649b0b337df44c46ce,1900,1,1,0,172,0.9398,0,32,61.5,,4,0,1E+19,1,0,3,1,0,0,0,K50B105921,1,540,139.578131,100,35.4312375,-5.407847,56.764263,-6.4946284,5.8668504,3.7733574,31.03725,62.16317,0.8186326,0.96766984,-1159.878,-0.06579934,-5.675996,7.597296,40.569923,33.114426,7.597296,37.873928,-24.953026,0,3.8791733,-300.12195,-1133.5366,-46.092667,125.49686,0,46,112,168,334,277,334,303,373,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
10,4d989712fcb65483ecb3af7adcbd7ab9,2024-12-28T11:45:17Z,1,0,a60ba835ba564e0e88cc807c17c16acb,1970,6,24,0,162,1.16205,0,10.5,56,,4,0,0056234001C7234001C7,1,0,3,1,0,0,0,K50B109529,1,540,139.9265785,5.651552891,35.72163468,-4.612359,39.40129,-0.95078504,4.928632,6.023463,37.703896,44.641422,-1.8532306,-0.15602112,-2409.3904,1.2552701,-2.8040156,3.7552297,19.50516,37.89146,5.870415,40.052635,23.119299,21.024967,5.913272,-278.90244,-2420.4878,-26.553871,204.69044,36.031277,11,167,236,308,328,388,386,427,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
11,7405858fe684cbfa888d279b25d04570,2024-12-28T11:45:06Z,1,0,fe5179f0e72a4c649b0b337df44c46ce,1900,1,1,0,172,0.9398,0,32,61.5,,4,0,1E+19,1,0,3,1,0,0,0,K50B105921,1,540,139.5781282,100,35.4312367,-3.6100976,60.483295,-5.7849207,6.4440045,5.599687,30.971762,66.603325,2.3671253,1.2506454,-1140.3658,-0.3147567,-3.4177954,7.3330603,40.980324,32.511677,7.3330603,40.379665,-22.846819,0,5.1223493,-339.63416,-1042.1952,-46.41403,125.23206,0,2,105,159,320,263,320,288,359,Q4930jb7ESZugqMNmFVAbVILayY2,0,0,0
